sequence_order,day_number,title,item_type,external_url,estimated_minutes
1,1,BS Language Arts A - W1D1,worksheet,,60
2,2,BS Language Arts A - W1D2,worksheet,,60
3,3,BS Language Arts A - W1D3,worksheet,,60
4,4,BS Language Arts A - W1D4,worksheet,,60
5,5,BS Language Arts A - W2D1,worksheet,,60
6,6,BS Language Arts A - W2D2,worksheet,,60
7,7,BS Language Arts A - W2D3,worksheet,,60
8,8,BS Language Arts A - W2D4,worksheet,,60
9,9,BS Language Arts A - W3D1,worksheet,,60
10,10,BS Language Arts A - W3D2,worksheet,,60
11,11,BS Language Arts A - W3D3,worksheet,,60
12,12,BS Language Arts A - W3D4,worksheet,,60
13,13,BS Language Arts A - W4D1,worksheet,,60
14,14,BS Language Arts A - W4D2,worksheet,,60
15,15,BS Language Arts A - W4D3,worksheet,,60
16,16,BS Language Arts A - W4D4,worksheet,,60
17,17,BS Language Arts A - W5D1,worksheet,,60
18,18,BS Language Arts A - W5D2,worksheet,,60
19,19,BS Language Arts A - W5D3,worksheet,,60
20,20,BS Language Arts A - W5D4,worksheet,,60
21,21,BS Language Arts A - W6D1,worksheet,,60
22,22,BS Language Arts A - W6D2,worksheet,,60
23,23,BS Language Arts A - W6D3,worksheet,,60
24,24,BS Language Arts A - W6D4,worksheet,,60
25,25,BS Language Arts A - W7D1,worksheet,,60
26,26,BS Language Arts A - W7D2,worksheet,,60
27,27,BS Language Arts A - W7D3,worksheet,,60
28,28,BS Language Arts A - W7D4,worksheet,,60
29,29,BS Language Arts A - W8D1,worksheet,,60
30,30,BS Language Arts A - W8D2,worksheet,,60
31,31,BS Language Arts A - W8D3,worksheet,,60
32,32,BS Language Arts A - W8D4,worksheet,,60
33,33,BS Language Arts A - W9D1,worksheet,,60
34,34,BS Language Arts A - W9D2,worksheet,,60
35,35,BS Language Arts A - W9D3,worksheet,,60
36,36,BS Language Arts A - W9D4,worksheet,,60
37,37,BS Language Arts A - W10D1,worksheet,,60
38,38,BS Language Arts A - W10D2,worksheet,,60
39,39,BS Language Arts A - W10D3,worksheet,,60
40,40,BS Language Arts A - W10D4,worksheet,,60
41,41,BS Language Arts A - W11D1,worksheet,,60
42,42,BS Language Arts A - W11D2,worksheet,,60
43,43,BS Language Arts A - W11D3,worksheet,,60
44,44,BS Language Arts A - W11D4,worksheet,,60
45,45,BS Language Arts A - W12D1,worksheet,,60
46,46,BS Language Arts A - W12D2,worksheet,,60
47,47,BS Language Arts A - W12D3,worksheet,,60
48,48,BS Language Arts A - W12D4,worksheet,,60
49,49,BS Language Arts A - W13D1,worksheet,,60
50,50,BS Language Arts A - W13D2,worksheet,,60
51,51,BS Language Arts A - W13D3,worksheet,,60
52,52,BS Language Arts A - W13D4,worksheet,,60
53,53,BS Language Arts A - W14D1,worksheet,,60
54,54,BS Language Arts A - W14D2,worksheet,,60
55,55,BS Language Arts A - W14D3,worksheet,,60
56,56,BS Language Arts A - W14D4,worksheet,,60
57,57,BS Language Arts A - W15D1,worksheet,,60
58,58,BS Language Arts A - W15D2,worksheet,,60
59,59,BS Language Arts A - W15D3,worksheet,,60
60,60,BS Language Arts A - W15D4,worksheet,,60
61,61,BS Language Arts A - W16D1,worksheet,,60
62,62,BS Language Arts A - W16D2,worksheet,,60
63,63,BS Language Arts A - W16D3,worksheet,,60
64,64,BS Language Arts A - W16D4,worksheet,,60
65,65,BS Language Arts A - W17D1,worksheet,,60
66,66,BS Language Arts A - W17D2,worksheet,,60
67,67,BS Language Arts A - W17D3,worksheet,,60
68,68,BS Language Arts A - W17D4,worksheet,,60
69,69,BS Language Arts A - W18D1,worksheet,,60
70,70,BS Language Arts A - W18D2,worksheet,,60
71,71,BS Language Arts A - W18D3,worksheet,,60
72,72,BS Language Arts A - W18D4,worksheet,,60
73,73,BS Language Arts A - W19D1,worksheet,,60
74,74,BS Language Arts A - W19D2,worksheet,,60
75,75,BS Language Arts A - W19D3,worksheet,,60
76,76,BS Language Arts A - W19D4,worksheet,,60
77,77,BS Language Arts A - W20D1,worksheet,,60
78,78,BS Language Arts A - W20D2,worksheet,,60
79,79,BS Language Arts A - W20D3,worksheet,,60
80,80,BS Language Arts A - W20D4,worksheet,,60
81,81,BS Language Arts A - W21D1,worksheet,,60
82,82,BS Language Arts A - W21D2,worksheet,,60
83,83,BS Language Arts A - W21D3,worksheet,,60
84,84,BS Language Arts A - W21D4,worksheet,,60
85,85,BS Language Arts A - W22D1,worksheet,,60
86,86,BS Language Arts A - W22D2,worksheet,,60
87,87,BS Language Arts A - W22D3,worksheet,,60
88,88,BS Language Arts A - W22D4,worksheet,,60
89,89,BS Language Arts A - W23D1,worksheet,,60
90,90,BS Language Arts A - W23D2,worksheet,,60
91,91,BS Language Arts A - W23D3,worksheet,,60
92,92,BS Language Arts A - W23D4,worksheet,,60
93,93,BS Language Arts A - W24D1,worksheet,,60
94,94,BS Language Arts A - W24D2,worksheet,,60
95,95,BS Language Arts A - W24D3,worksheet,,60
96,96,BS Language Arts A - W24D4,worksheet,,60
97,97,BS Language Arts A - W25D1,worksheet,,60
98,98,BS Language Arts A - W25D2,worksheet,,60
99,99,BS Language Arts A - W25D3,worksheet,,60
100,100,BS Language Arts A - W25D4,worksheet,,60
101,101,BS Language Arts A - W26D1,worksheet,,60
102,102,BS Language Arts A - W26D2,worksheet,,60
103,103,BS Language Arts A - W26D3,worksheet,,60
104,104,BS Language Arts A - W26D4,worksheet,,60
105,105,BS Language Arts A - W27D1,worksheet,,60
106,106,BS Language Arts A - W27D2,worksheet,,60
107,107,BS Language Arts A - W27D3,worksheet,,60
108,108,BS Language Arts A - W27D4,worksheet,,60
109,109,BS Language Arts A - W28D1,worksheet,,60
110,110,BS Language Arts A - W28D2,worksheet,,60
111,111,BS Language Arts A - W28D3,worksheet,,60
112,112,BS Language Arts A - W28D4,worksheet,,60
113,113,BS Language Arts A - W29D1,worksheet,,60
114,114,BS Language Arts A - W29D2,worksheet,,60
115,115,BS Language Arts A - W29D3,worksheet,,60
116,116,BS Language Arts A - W29D4,worksheet,,60
117,117,BS Language Arts A - W30D1,worksheet,,60
118,118,BS Language Arts A - W30D2,worksheet,,60
119,119,BS Language Arts A - W30D3,worksheet,,60
120,120,BS Language Arts A - W30D4,worksheet,,60
121,121,BS Language Arts A - W31D1,worksheet,,60
122,122,BS Language Arts A - W31D2,worksheet,,60
123,123,BS Language Arts A - W31D3,worksheet,,60
124,124,BS Language Arts A - W31D4,worksheet,,60
125,125,BS Language Arts A - W32D1,worksheet,,60
126,126,BS Language Arts A - W32D2,worksheet,,60
127,127,BS Language Arts A - W32D3,worksheet,,60
128,128,BS Language Arts A - W32D4,worksheet,,60
129,129,BS Language Arts A - W33D1,worksheet,,60
130,130,BS Language Arts A - W33D2,worksheet,,60
131,131,BS Language Arts A - W33D3,worksheet,,60
132,132,BS Language Arts A - W33D4,worksheet,,60
133,133,BS Language Arts A - W34D1,worksheet,,60
134,134,BS Language Arts A - W34D2,worksheet,,60
135,135,BS Language Arts A - W34D3,worksheet,,60
136,136,BS Language Arts A - W34D4,worksheet,,60
137,137,BS Language Arts A - W35D1,worksheet,,60
138,138,BS Language Arts A - W35D2,worksheet,,60
139,139,BS Language Arts A - W35D3,worksheet,,60
140,140,BS Language Arts A - W35D4,worksheet,,60
141,141,BS Language Arts A - W36D1,worksheet,,60
142,142,BS Language Arts A - W36D2,worksheet,,60
143,143,BS Language Arts A - W36D3,worksheet,,60
144,144,BS Language Arts A - W36D4,worksheet,,60
