sequence_order,day_number,title,item_type,external_url,estimated_minutes
1,1,BS Science A - W1D1,worksheet,,60
2,2,BS Science A - W1D2,worksheet,,60
3,3,BS Science A - W1D3,worksheet,,60
4,4,BS Science A - W1D4,worksheet,,60
5,5,BS Science A - W2D1,worksheet,,60
6,6,BS Science A - W2D2,worksheet,,60
7,7,BS Science A - W2D3,worksheet,,60
8,8,BS Science A - W2D4,worksheet,,60
9,9,BS Science A - W3D1,worksheet,,60
10,10,BS Science A - W3D2,worksheet,,60
11,11,BS Science A - W3D3,worksheet,,60
12,12,BS Science A - W3D4,worksheet,,60
13,13,BS Science A - W4D1,worksheet,,60
14,14,BS Science A - W4D2,worksheet,,60
15,15,BS Science A - W4D3,worksheet,,60
16,16,BS Science A - W4D4,worksheet,,60
17,17,BS Science A - W5D1,worksheet,,60
18,18,BS Science A - W5D2,worksheet,,60
19,19,BS Science A - W5D3,worksheet,,60
20,20,BS Science A - W5D4,worksheet,,60
21,21,BS Science A - W6D1,worksheet,,60
22,22,BS Science A - W6D2,worksheet,,60
23,23,BS Science A - W6D3,worksheet,,60
24,24,BS Science A - W6D4,worksheet,,60
25,25,BS Science A - W7D1,worksheet,,60
26,26,BS Science A - W7D2,worksheet,,60
27,27,BS Science A - W7D3,worksheet,,60
28,28,BS Science A - W7D4,worksheet,,60
29,29,BS Science A - W8D1,worksheet,,60
30,30,BS Science A - W8D2,worksheet,,60
31,31,BS Science A - W8D3,worksheet,,60
32,32,BS Science A - W8D4,worksheet,,60
33,33,BS Science A - W9D1,worksheet,,60
34,34,BS Science A - W9D2,worksheet,,60
35,35,BS Science A - W9D3,worksheet,,60
36,36,BS Science A - W9D4,worksheet,,60
37,37,BS Science A - W10D1,worksheet,,60
38,38,BS Science A - W10D2,worksheet,,60
39,39,BS Science A - W10D3,worksheet,,60
40,40,BS Science A - W10D4,worksheet,,60
41,41,BS Science A - W11D1,worksheet,,60
42,42,BS Science A - W11D2,worksheet,,60
43,43,BS Science A - W11D3,worksheet,,60
44,44,BS Science A - W11D4,worksheet,,60
45,45,BS Science A - W12D1,worksheet,,60
46,46,BS Science A - W12D2,worksheet,,60
47,47,BS Science A - W12D3,worksheet,,60
48,48,BS Science A - W12D4,worksheet,,60
49,49,BS Science A - W13D1,worksheet,,60
50,50,BS Science A - W13D2,worksheet,,60
51,51,BS Science A - W13D3,worksheet,,60
52,52,BS Science A - W13D4,worksheet,,60
53,53,BS Science A - W14D1,worksheet,,60
54,54,BS Science A - W14D2,worksheet,,60
55,55,BS Science A - W14D3,worksheet,,60
56,56,BS Science A - W14D4,worksheet,,60
57,57,BS Science A - W15D1,worksheet,,60
58,58,BS Science A - W15D2,worksheet,,60
59,59,BS Science A - W15D3,worksheet,,60
60,60,BS Science A - W15D4,worksheet,,60
61,61,BS Science A - W16D1,worksheet,,60
62,62,BS Science A - W16D2,worksheet,,60
63,63,BS Science A - W16D3,worksheet,,60
64,64,BS Science A - W16D4,worksheet,,60
65,65,BS Science A - W17D1,worksheet,,60
66,66,BS Science A - W17D2,worksheet,,60
67,67,BS Science A - W17D3,worksheet,,60
68,68,BS Science A - W17D4,worksheet,,60
