sequence_order,day_number,title,item_type,external_url,estimated_minutes
1,1,Lesson 01: Number Recognition - Lesson,worksheet,,60
2,2,Lesson 01: Number Recognition - Practice,worksheet,,60
3,3,Lesson 02: Writing Numerals - Lesson,worksheet,,60
4,4,Lesson 02: Writing Numerals - Practice,worksheet,,60
5,5,Lesson 03: Number Recognition and Writing Numerals - Lesson,worksheet,,60
6,6,Lesson 03: Number Recognition and Writing Numerals - Practice,worksheet,,60
7,7,Lesson 04: Geometric Shapes: Rectangles - Lesson,worksheet,,60
8,8,Lesson 04: Geometric Shapes: Rectangles - Practice,worksheet,,60
9,9,Lesson 05: Number Recognition and Writing Numerals - Lesson,worksheet,,60
10,10,Lesson 05: Number Recognition and Writing Numerals - Practice,worksheet,,60
11,11,Lesson 06: Geometric Shapes: Circles - Lesson,worksheet,,60
12,12,Lesson 06: Geometric Shapes: Circles - Practice,worksheet,,60
13,13,Lesson 07: Number Recognition and Writing Numerals - Lesson,worksheet,,60
14,14,Lesson 07: Number Recognition and Writing Numerals - Practice,worksheet,,60
15,15,Lesson 08: Geometric Shapes: Triangles - Lesson,worksheet,,60
16,16,Lesson 08: Geometric Shapes: Triangles - Practice,worksheet,,60
17,17,Lesson 09: Place Value: Units and Tens - Lesson,worksheet,,60
18,18,Lesson 09: Place Value: Units and Tens - Practice,worksheet,,60
19,19,Lesson 10: Place Value: Hundreds - Lesson,worksheet,,60
20,20,Lesson 10: Place Value: Hundreds - Practice,worksheet,,60
21,21,Lesson 11: Unit Bars - Lesson,worksheet,,60
22,22,Lesson 11: Unit Bars - Practice,worksheet,,60
23,23,Lesson 12: Addition: Introduction and Symbol - Lesson,worksheet,,60
24,24,Lesson 12: Addition: Introduction and Symbol - Practice,worksheet,,60
25,25,Lesson 13: Addition: +1 - Lesson,worksheet,,60
26,26,Lesson 13: Addition: +1 - Practice,worksheet,,60
27,27,Lesson 14: Counting to 20 - Lesson,worksheet,,60
28,28,Lesson 14: Counting to 20 - Practice,worksheet,,60
29,29,Lesson 15: Addition: 2 + 2 and 3 + 3; Vertical Addition - Lesson,worksheet,,60
30,30,Lesson 15: Addition: 2 + 2 and 3 + 3; Vertical Addition - Practice,worksheet,,60
31,31,Lesson 16: Shapes: Squares; Addition: 4 + 4 and 5 + 5 - Lesson,worksheet,,60
32,32,Lesson 16: Shapes: Squares; Addition: 4 + 4 and 5 + 5 - Practice,worksheet,,60
33,33,Lesson 17: Skip Counting by Two - Lesson,worksheet,,60
34,34,Lesson 17: Skip Counting by Two - Practice,worksheet,,60
35,35,Lesson 18: Addition of Tens - Lesson,worksheet,,60
36,36,Lesson 18: Addition of Tens - Practice,worksheet,,60
37,37,Lesson 19: Skip Counting by 10 - Lesson,worksheet,,60
38,38,Lesson 19: Skip Counting by 10 - Practice,worksheet,,60
39,39,Lesson 20: Addition of Hundreds - Lesson,worksheet,,60
40,40,Lesson 20: Addition of Hundreds - Practice,worksheet,,60
41,41,Lesson 21: Solving for an Unknown - Lesson,worksheet,,60
42,42,Lesson 21: Solving for an Unknown - Practice,worksheet,,60
43,43,Lesson 22: Skip Counting by Five - Lesson,worksheet,,60
44,44,Lesson 22: Skip Counting by Five - Practice,worksheet,,60
45,45,Lesson 23: Tally Marks - Lesson,worksheet,,60
46,46,Lesson 23: Tally Marks - Practice,worksheet,,60
47,47,Lesson 24: Addition: Making 10 - Lesson,worksheet,,60
48,48,Lesson 24: Addition: Making 10 - Practice,worksheet,,60
49,49,Lesson 25: Skip Count to Find Area - Lesson,worksheet,,60
50,50,Lesson 25: Skip Count to Find Area - Practice,worksheet,,60
51,51,Lesson 26: Telling Time with Minutes - Lesson,worksheet,,60
52,52,Lesson 26: Telling Time with Minutes - Practice,worksheet,,60
53,53,Lesson 27: Telling Time with Hours - Lesson,worksheet,,60
54,54,Lesson 27: Telling Time with Hours - Practice,worksheet,,60
55,55,Lesson 28: Telling Time with Minutes and Hours - Lesson,worksheet,,60
56,56,Lesson 28: Telling Time with Minutes and Hours - Practice,worksheet,,60
57,57,Lesson 29: Subtraction: Introduction and Symbol - Lesson,worksheet,,60
58,58,Lesson 29: Subtraction: Introduction and Symbol - Practice,worksheet,,60
59,59,Lesson 30: Subtraction - 1 - Lesson,worksheet,,60
60,60,Lesson 30: Subtraction - 1 - Practice,worksheet,,60
